,title,gross,link,year,director,actors,runtime,genre,metascore
890,Broen over floden Kwai,$44.91M,https://www.imdb.com/title/tt0050212/,1957,David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']",175 min,"['Adventure', 'Comedy', 'Family']",87        
891,Broen over floden Kwai,$44.91M,https://www.imdb.com/title/tt0050212/,1957,David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']",90 min,"['Drama', 'Romance']",87        
892,I storbyens havn,$9.60M,https://www.imdb.com/title/tt0047296/,1954,Elia Kazan,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Rod Steiger']",108 min,"['Crime', 'Drama', 'Thriller']",91        
893,Herfra til evigheden,$30.50M,https://www.imdb.com/title/tt0045793/,1953,Fred Zinnemann,"['Burt Lancaster', 'Montgomery Clift', 'Deborah Kerr', 'Donna Reed']",118 min,"['Drama', 'Romance', 'War']",85        
894,Herfra til evigheden,$30.50M,https://www.imdb.com/title/tt0045793/,1953,Fred Zinnemann,"['Burt Lancaster', 'Montgomery Clift', 'Deborah Kerr', 'Donna Reed']",152 min,"['Drama', 'Family', 'Romance']",85        
895,En amerikaner i Paris,$4.50M,https://www.imdb.com/title/tt0043278/,1951,Vincente Minnelli,"['Gene Kelly', 'Leslie Caron', 'Oscar Levant', 'Georges Guétary']",114 min,"['Drama', 'Musical', 'Romance']",84        
896,Alt om Eva,$0.01M,https://www.imdb.com/title/tt0042192/,1950,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']",138 min,['Drama'],98        
897,Alt om Eva,$0.01M,https://www.imdb.com/title/tt0042192/,1950,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']",110 min,"['Drama', 'Film-Noir']",98        
898,Alt om Eva,$0.01M,https://www.imdb.com/title/tt0042192/,1950,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']",154 min,['Drama'],98        
899,Alt om Eva,$0.01M,https://www.imdb.com/title/tt0042192/,1950,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']",118 min,"['Drama', 'Romance']",98        
900,De bedste år,$23.65M,https://www.imdb.com/title/tt0036868/,1946,William Wyler,"['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']",170 min,"['Drama', 'Romance', 'War']",92        
901,De bedste år,$23.65M,https://www.imdb.com/title/tt0036868/,1946,William Wyler,"['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']",101 min,"['Drama', 'Film-Noir']",92        
902,De bedste år,$23.65M,https://www.imdb.com/title/tt0036868/,1946,William Wyler,"['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']",126 min,"['Comedy', 'Drama', 'Music']",92        
903,De bedste år,$23.65M,https://www.imdb.com/title/tt0036868/,1946,William Wyler,"['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']",134 min,"['Drama', 'Romance', 'War']",92        
904,Casablanca,$1.02M,https://www.imdb.com/title/tt0034583/,1942,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']",102 min,"['Drama', 'Romance', 'War']",100        
905,Casablanca,$1.02M,https://www.imdb.com/title/tt0034583/,1942,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']",118 min,"['Drama', 'Family']",100        
906,Casablanca,$1.02M,https://www.imdb.com/title/tt0034583/,1942,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']",130 min,"['Drama', 'Mystery', 'Romance']",100        
907,Borte med blæsten,$198.68M,https://www.imdb.com/title/tt0031381/,1939,Victor Fleming,"['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",238 min,"['Drama', 'History', 'Romance']",97        
908,Borte med blæsten,$198.68M,https://www.imdb.com/title/tt0031381/,1939,Victor Fleming,"['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",126 min,"['Comedy', 'Drama', 'Romance']",97        
909,Borte med blæsten,$198.68M,https://www.imdb.com/title/tt0031381/,1939,Victor Fleming,"['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",116 min,"['Biography', 'Drama']",97        
910,Borte med blæsten,$198.68M,https://www.imdb.com/title/tt0031381/,1939,Victor Fleming,"['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",176 min,"['Biography', 'Drama', 'Musical']",97        
911,Mytteri på Bounty,"19,124",https://www.imdb.com/title/tt0026752/,1935,Frank Lloyd,"['Charles Laughton', 'Clark Gable', 'Franchot Tone', 'Herbert Mundin']",132 min,"['Adventure', 'Biography', 'Drama']",87        
912,Det hændte en nat,$4.36M,https://www.imdb.com/title/tt0025316/,1934,Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",105 min,"['Comedy', 'Romance']",87        
913,Det hændte en nat,$4.36M,https://www.imdb.com/title/tt0025316/,1934,Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",112 min,"['Drama', 'Romance', 'War']",87        
914,Det hændte en nat,$4.36M,https://www.imdb.com/title/tt0025316/,1934,Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",112 min,"['Drama', 'Romance']",87        
915,Det hændte en nat,$4.36M,https://www.imdb.com/title/tt0025316/,1934,Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",123 min,"['Drama', 'Western']",87        
916,Intet nyt fra vestfronten,$3.27M,https://www.imdb.com/title/tt0020629/,1930,Lewis Milestone,"['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy']",136 min,"['Drama', 'War']",91        
917,Intet nyt fra vestfronten,$3.27M,https://www.imdb.com/title/tt0020629/,1930,Lewis Milestone,"['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy']",100 min,"['Drama', 'Musical', 'Romance']",91        
918,Intet nyt fra vestfronten,$3.27M,https://www.imdb.com/title/tt0020629/,1930,Lewis Milestone,"['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy']",144 min,"['Drama', 'Romance', 'War']",91        
919,Intet nyt fra vestfronten,$3.27M,https://www.imdb.com/title/tt0020629/,1930,Lewis Milestone,"['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy']",94 min,"['Drama', 'Romance']",91        
920,Green Book,$85.08M,https://www.imdb.com/title/tt6966692/,2018,Peter Farrelly,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']",130 min,"['Biography', 'Comedy', 'Drama']",69        
921,The Shape of Water,$63.86M,https://www.imdb.com/title/tt5580390/,2017,Guillermo del Toro,"['Sally Hawkins', 'Octavia Spencer', 'Michael Shannon', 'Doug Jones']",123 min,"['Adventure', 'Drama', 'Fantasy']",87        
922,Moonlight,$27.85M,https://www.imdb.com/title/tt4975722/,2016,Barry Jenkins,"['Mahershala Ali', 'Naomie Harris', 'Trevante Rhodes', 'Alex R. Hibbert']",111 min,['Drama'],99        
923,Spotlight,$45.06M,https://www.imdb.com/title/tt1895587/,2015,Tom McCarthy,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber']",129 min,"['Biography', 'Crime', 'Drama']",93        
924,Birdman or (The Unexpected Virtue of Ignorance),$42.34M,https://www.imdb.com/title/tt2562232/,2014,Alejandro G. Iñárritu,"['Michael Keaton', 'Zach Galifianakis', 'Edward Norton', 'Andrea Riseborough']",119 min,"['Comedy', 'Drama']",87        
925,12 Years a Slave,$56.67M,https://www.imdb.com/title/tt2024544/,2013,Steve McQueen,"['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender', 'Brad Pitt']",134 min,"['Biography', 'Drama', 'History']",96        
926,Operation Argo,$136.03M,https://www.imdb.com/title/tt1024648/,2012,Ben Affleck,"['Ben Affleck', 'Bryan Cranston', 'John Goodman', 'Alan Arkin']",120 min,"['Biography', 'Drama', 'Thriller']",86        
927,The Artist,$44.67M,https://www.imdb.com/title/tt1655442/,2011,Michel Hazanavicius,"['Jean Dujardin', 'Bérénice Bejo', 'John Goodman', 'James Cromwell']",100 min,"['Comedy', 'Drama', 'Romance']",89        
928,Kongens store tale,$138.80M,https://www.imdb.com/title/tt1504320/,2010,Tom Hooper,"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter', 'Derek Jacobi']",118 min,"['Biography', 'Drama', 'History']",88        
929,Slumdog Millionaire - Drengen der havde svar på alt,$141.32M,https://www.imdb.com/title/tt1010048/,2008,Danny Boyle,"['Loveleen Tandan', 'Dev Patel', 'Freida Pinto', 'Saurabh Shukla', 'Anil Kapoor']",120 min,"['Drama', 'Romance']",86        
930,The Hurt Locker,$17.02M,https://www.imdb.com/title/tt0887912/,2008,Kathryn Bigelow,"['Jeremy Renner', 'Anthony Mackie', 'Brian Geraghty', 'Guy Pearce']",131 min,"['Drama', 'Thriller', 'War']",94        
931,No Country for Old Men,$74.28M,https://www.imdb.com/title/tt0477348/,2007,Ethan Coen,"['Joel Coen', 'Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin', 'Woody Harrelson']",122 min,"['Crime', 'Drama', 'Thriller']",91        
932,The Departed,$132.38M,https://www.imdb.com/title/tt0407887/,2006,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']",151 min,"['Crime', 'Drama', 'Thriller']",85        
933,Million Dollar Baby,$100.49M,https://www.imdb.com/title/tt0405159/,2004,Clint Eastwood,"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman', 'Jay Baruchel']",132 min,"['Drama', 'Sport']",86        
934,Crash,$54.58M,https://www.imdb.com/title/tt0375679/,2004,Paul Haggis,"['Don Cheadle', 'Sandra Bullock', 'Thandie Newton', 'Karina Arroyave']",112 min,"['Crime', 'Drama', 'Thriller']",69        
935,Ringenes herre: Kongen vender tilbage,$377.85M,https://www.imdb.com/title/tt0167260/,2003,Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']",201 min,"['Adventure', 'Drama', 'Fantasy']",94        
936,Chicago,$170.69M,https://www.imdb.com/title/tt0299658/,2002,Rob Marshall,"['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere', 'Taye Diggs']",113 min,"['Comedy', 'Crime', 'Musical']",82        
937,Et smukt sind,$170.74M,https://www.imdb.com/title/tt0268978/,2001,Ron Howard,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer']",135 min,"['Biography', 'Drama']",72        
938,Gladiator,$187.71M,https://www.imdb.com/title/tt0172495/,2000,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']",155 min,"['Action', 'Adventure', 'Drama']",67        
939,American Beauty,$130.10M,https://www.imdb.com/title/tt0169547/,1999,Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']",122 min,['Drama'],86        
940,Shakespeare in Love,$100.32M,https://www.imdb.com/title/tt0138097/,1998,John Madden,"['Gwyneth Paltrow', 'Joseph Fiennes', 'Geoffrey Rush', 'Tom Wilkinson']",123 min,"['Comedy', 'Drama', 'History']",87        
941,Titanic,$659.33M,https://www.imdb.com/title/tt0120338/,1997,James Cameron,"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates']",194 min,"['Drama', 'Romance']",75        
942,Den engelske patient,$78.65M,https://www.imdb.com/title/tt0116209/,1996,Anthony Minghella,"['Ralph Fiennes', 'Juliette Binoche', 'Willem Dafoe', 'Kristin Scott Thomas']",162 min,"['Drama', 'Romance', 'War']",87        
943,Braveheart,$75.60M,https://www.imdb.com/title/tt0112573/,1995,Mel Gibson,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']",178 min,"['Biography', 'Drama', 'History']",68        
944,Forrest Gump,$330.25M,https://www.imdb.com/title/tt0109830/,1994,Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']",142 min,"['Drama', 'Romance']",82        
945,Schindlers liste,$96.90M,https://www.imdb.com/title/tt0108052/,1993,Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']",195 min,"['Biography', 'Drama', 'History']",93        
946,De nådesløse,$101.16M,https://www.imdb.com/title/tt0105695/,1992,Clint Eastwood,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris']",130 min,"['Drama', 'Western']",85        
947,Ondskabens øjne,$130.74M,https://www.imdb.com/title/tt0102926/,1991,Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']",118 min,"['Crime', 'Drama', 'Thriller']",85        
948,Danser med ulve,$184.21M,https://www.imdb.com/title/tt0099348/,1990,Kevin Costner,"['Kevin Costner', 'Mary McDonnell', 'Graham Greene', 'Rodney A. Grant']",181 min,"['Adventure', 'Drama', 'Western']",72        
949,Driving Miss Daisy,$106.59M,https://www.imdb.com/title/tt0097239/,1989,Bruce Beresford,"['Morgan Freeman', 'Jessica Tandy', 'Dan Aykroyd', 'Patti LuPone']",99 min,['Drama'],81        
950,Rain Man,$178.80M,https://www.imdb.com/title/tt0095953/,1988,Barry Levinson,"['Dustin Hoffman', 'Tom Cruise', 'Valeria Golino', 'Gerald R. Molen']",133 min,['Drama'],65        
951,Den sidste kejser,$43.98M,https://www.imdb.com/title/tt0093389/,1987,Bernardo Bertolucci,"['John Lone', 'Joan Chen', ""Peter O'Toole"", 'Ruocheng Ying']",163 min,"['Biography', 'Drama', 'History']",76        
952,Platoon - Kamp-patruljen,$138.53M,https://www.imdb.com/title/tt0091763/,1986,Oliver Stone,"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe', 'Keith David']",120 min,"['Drama', 'War']",92        
953,Mit Afrika,$87.10M,https://www.imdb.com/title/tt0089755/,1985,Sydney Pollack,"['Meryl Streep', 'Robert Redford', 'Klaus Maria Brandauer', 'Michael Kitchen']",161 min,"['Biography', 'Drama', 'Romance']",69        
954,Amadeus,$51.97M,https://www.imdb.com/title/tt0086879/,1984,Milos Forman,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']",160 min,"['Biography', 'Drama', 'History']",88        
955,Tid til kærtegn,$108.42M,https://www.imdb.com/title/tt0086425/,1983,James L. Brooks,"['Shirley MacLaine', 'Debra Winger', 'Jack Nicholson', 'Danny DeVito']",132 min,"['Comedy', 'Drama']",79        
956,Gandhi,$52.77M,https://www.imdb.com/title/tt0083987/,1982,Richard Attenborough,"['Ben Kingsley', 'John Gielgud', 'Rohini Hattangadi', 'Roshan Seth']",191 min,"['Biography', 'Drama', 'History']",79        
957,Viljen til sejr,$58.97M,https://www.imdb.com/title/tt0082158/,1981,Hugh Hudson,"['Ben Cross', 'Ian Charleson', 'Nicholas Farrell', 'Nigel Havers']",125 min,"['Biography', 'Drama', 'Sport']",78        
958,Ordinary People: En ganske almindelig familie,$54.80M,https://www.imdb.com/title/tt0081283/,1980,Robert Redford,"['Donald Sutherland', 'Mary Tyler Moore', 'Judd Hirsch', 'Timothy Hutton']",124 min,['Drama'],87        
959,Kramer mod Kramer,$106.26M,https://www.imdb.com/title/tt0079417/,1979,Robert Benton,"['Dustin Hoffman', 'Meryl Streep', 'Jane Alexander', 'Justin Henry']",105 min,['Drama'],77        
960,The Deer Hunter,$48.98M,https://www.imdb.com/title/tt0077416/,1978,Michael Cimino,"['Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage']",183 min,"['Drama', 'War']",86        
961,Mig og Annie,$39.20M,https://www.imdb.com/title/tt0075686/,1977,Woody Allen,"['Woody Allen', 'Diane Keaton', 'Tony Roberts', 'Carol Kane']",93 min,"['Comedy', 'Romance']",92        
962,Rocky,$117.24M,https://www.imdb.com/title/tt0075148/,1976,John G. Avildsen,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']",120 min,"['Drama', 'Sport']",70        
963,Gøgereden,$112.00M,https://www.imdb.com/title/tt0073486/,1975,Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Will Sampson', 'Michael Berryman']",133 min,['Drama'],83        
964,Godfather del 2,$57.30M,https://www.imdb.com/title/tt0071562/,1974,Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",202 min,"['Crime', 'Drama']",90        
965,Sidste stik,$159.60M,https://www.imdb.com/title/tt0070735/,1973,George Roy Hill,"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Charles Durning']",129 min,"['Comedy', 'Crime', 'Drama']",83        
966,Godfather,$134.97M,https://www.imdb.com/title/tt0068646/,1972,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']",175 min,"['Crime', 'Drama']",100        
967,The French Connection,"100,531",https://www.imdb.com/title/tt0067116/,1971,William Friedkin,"['Gene Hackman', 'Roy Scheider', 'Fernando Rey', 'Tony Lo Bianco']",104 min,"['Action', 'Crime', 'Drama']",94        
968,Patton - pansergeneralen,$61.70M,https://www.imdb.com/title/tt0066206/,1970,Franklin J. Schaffner,"['George C. Scott', 'Karl Malden', 'Stephen Young', 'Michael Strong']",172 min,"['Biography', 'Drama', 'War']",91        
969,Midnight Cowboy,$44.79M,https://www.imdb.com/title/tt0064665/,1969,John Schlesinger,"['Dustin Hoffman', 'Jon Voight', 'Sylvia Miles', 'John McGiver']",113 min,['Drama'],79        
970,Oliver!,$16.80M,https://www.imdb.com/title/tt0063385/,1968,Carol Reed,"['Mark Lester', 'Ron Moody', 'Shani Wallis', 'Oliver Reed']",153 min,"['Drama', 'Family', 'Musical']",74        
971,I nattens hede,$24.38M,https://www.imdb.com/title/tt0061811/,1967,Norman Jewison,"['Sidney Poitier', 'Rod Steiger', 'Warren Oates', 'Lee Grant']",110 min,"['Crime', 'Drama', 'Mystery']",75        
972,Mand til alle tider,$28.35M,https://www.imdb.com/title/tt0060665/,1966,Fred Zinnemann,"['Paul Scofield', 'Wendy Hiller', 'Robert Shaw', 'Leo McKern']",120 min,"['Biography', 'Drama', 'History']",72        
973,The Sound of Music,$163.21M,https://www.imdb.com/title/tt0059742/,1965,Robert Wise,"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn']",172 min,"['Biography', 'Drama', 'Family']",63        
974,My Fair Lady,$72.00M,https://www.imdb.com/title/tt0058385/,1964,George Cukor,"['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway', 'Wilfrid Hyde-White']",170 min,"['Drama', 'Family', 'Musical']",95        
975,My Fair Lady,$72.00M,https://www.imdb.com/title/tt0058385/,1964,George Cukor,"['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway', 'Wilfrid Hyde-White']",129 min,"['Adventure', 'Comedy', 'History']",95        
976,Lawrence af Arabien,$44.82M,https://www.imdb.com/title/tt0056172/,1962,David Lean,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']",216 min,"['Adventure', 'Biography', 'Drama']",100        
977,West Side Story,$43.66M,https://www.imdb.com/title/tt0055614/,1961,Jerome Robbins,"['Robert Wise', 'Natalie Wood', 'George Chakiris', 'Richard Beymer', 'Russ Tamblyn']",153 min,"['Crime', 'Drama', 'Musical']",86        
978,Nøglen under måtten,$18.60M,https://www.imdb.com/title/tt0053604/,1960,Billy Wilder,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",125 min,"['Comedy', 'Drama', 'Romance']",94        
979,Ben-Hur,$74.70M,https://www.imdb.com/title/tt0052618/,1959,William Wyler,"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet']",212 min,"['Adventure', 'Drama', 'History']",90        
980,Ben-Hur,$74.70M,https://www.imdb.com/title/tt0052618/,1959,William Wyler,"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet']",115 min,"['Comedy', 'Musical', 'Romance']",90        
981,Broen over floden Kwai,$44.91M,https://www.imdb.com/title/tt0050212/,1957,David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']",161 min,"['Adventure', 'Drama', 'War']",87        
982,Broen over floden Kwai,$44.91M,https://www.imdb.com/title/tt0050212/,1957,David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']",175 min,"['Adventure', 'Comedy', 'Family']",87        
983,Broen over floden Kwai,$44.91M,https://www.imdb.com/title/tt0050212/,1957,David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']",90 min,"['Drama', 'Romance']",87        
984,I storbyens havn,$9.60M,https://www.imdb.com/title/tt0047296/,1954,Elia Kazan,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Rod Steiger']",108 min,"['Crime', 'Drama', 'Thriller']",91        
